title,overview,genres,release_date,runtime,vote_average
Jeremiah Tower: The Last Magnificent,"The life of Jeremiah Tower, one of the most controversial, outrageous, and influential figures in the history of American gastronomy.","[{'id': 99, 'name': 'Documentary'}]",2016-07-29,120.0,0.0
A Man Apart,"When Vetter's wife is killed in a botched hit organized by Diablo, he seeks revenge against those responsible. But in the process, Vetter and Hicks have to fight their way up the chain to get to Diablo but it's easier said than done when all Vetter can focus on is revenge.","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",2003-04-04,109.0,5.8
The Ice Princess,"This is another variation of the Cinderella story: the bright and beautiful Ella lives in the household of a lord since her mother died. She's unhappy because the lord's daughters treat her like their servant. The country is in problems, because the prince is a dreamer and doesn't realize that his chancellor abuses his power. When the day nears the prince is forced by law to find a wife, a celebration on a frozen lake is arranged. Ella manages to skate on the lake for him too, hiding her identity. The prince falls in love with her, so he tries to find her. His chancellor attempts to hinder them, since he knows about Ella's critical thoughts.","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",1996-12-12,60.0,0.0
The Rainbow Tribe,"Morgan Roberts, a middle aged adult in crisis, reunites with his best friend when he returns to the summer camp of his youth. His troubles seem to magnify when he is joined by a rag-tag group of 10 year old campers. Through their struggles they collectively overcome their personal problems and exchange them for one of the best summers of their lives. is.","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",2011-02-01,90.0,5.3
The Retrieval,"On the outskirts of the Civil War, a boy is sent north by a bounty hunter gang to retrieve a wanted man.","[{'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",2013-03-11,91.0,6.4
Dhol,"Sameer Arya, Martand Damdere, Pankaj Tiwari, and Gautam Sesodia are friends who live in a small town in India. Broke, accident-prone, and unable to pay rent to their landlady, they are basically slackers with Sameer and Gautam having no family, while Pankaj has been kicked out by his brother-in-law, and Martand has illicitly borrowed money from his maternal uncle, is unable to re-pay it and hence rendered homeless. The four find out that they can better their lifestyle by obtaining a bank loan - albeit in vain as they are unable to secure one. Then they decide to woo a rich girl, let one of them marry her, and live their life in comfort...","[{'id': 35, 'name': 'Comedy'}]",2007-09-14,145.0,5.9
The Sun Shines Bright,"John Ford weaves three ""Judge Priest"" stories together to form a good- natured exploration of honour and small-town politics in the South around the turn of the century. Judge William Priest is involved variously in revealing the real identity of Lucy Lake, reliving his Civil War memories, preventing the lynching of a youth and contesting the elections with Yankee Horace K. Maydew.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",1953-05-02,92.0,6.6
Sometimes They Come Back... for More,"On a arctic circle radio shack, an ancient evil lurks, ready to strike at a psychologist, an army man and their collective forces.","[{'id': 27, 'name': 'Horror'}]",1998-09-06,89.0,3.6
Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1995-10-20,105.0,6.4
Mujhse Dosti Karoge!,"Raj has always had a unrequited childhood crush on a friend named Tina, but Tina's best friend Pooja has always had a crush on Raj. When Raj's family move to England to get involved in an internet business, Raj promises Tina that he will keep in touch with her and that their friendship will always be forever. However Tina disregards him and chooses not to respond to his first e-mail, in turn Pooja decides to keep in touch with him but signs under Tina's name. Fifteen years later, and their friendship has blossomed via e-mail, Raj believing that he's getting to know Tina when it's really Pooja. His family decides to go back on a holiday to India for 2 weeks, when Tina discovers the truth about Pooja's e-mails, they decide together that Tina will play along with the charade. When Raj arrives in India, he is struck by Tina's beauty but equally as struck to Pooja's personality. Who will he choose?","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2002-08-08,149.0,6.1
Peep World,"On the day of their Father's 70th birthday party, four siblings come to terms with the publication of a novel written by the youngest sibling, that exposes the family's most intimate secrets.","[{'id': 35, 'name': 'Comedy'}]",2010-09-15,79.0,5.2
Bar Sport,,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2011-10-21,93.0,4.7
The Citadel,"Andrew Manson, a young, idealistic, newly qualified Scottish doctor arrives in Wales takes his first job in a mining town, and begins to wonder at the persistent cough many of the miners have. When his attempts to prove its cause are thwarted, he moves to London. His new practice does badly. But when a friend shows him how to make a lucrative practice from rich hypochondriacs, it will take a great shock to show him what the truth of being a doctor really is.","[{'id': 18, 'name': 'Drama'}]",1938-10-29,110.0,6.8
Poker Alice,"She's a New Orleans gambler with a poker face no man can resist. And when she unwittingly wins a ""house of ill repute"" in a high-stakes card game, things start moving like a runaway train.",[],1987-05-21,92.0,6.0
"Gahan Wilson: Born Dead, Still Weird","Gahan Wilson: Born Dead, Still Weird is an insightful profile of the legendary cartoonist. For over fifty years, Gahan Wilson has been known for his ghoulish, twisted visions that combine horrific elements with comedy, as well as political and ecological cartoons. His cartoons have appeared in Playboy Magazine, The New Yorker, National Lampoon, The New York Times, Colliers, and Look. Wilson sees monsters and irony in ordinary, everyday situations and turns them into explosive cartoons. The documentary takes an intimate look at Wilson's bizarre and personal inspirations, the inner workings of the cartoon world, and how his quirky creations have profoundly affected legions of fans, including some surprising celebrities.","[{'id': 99, 'name': 'Documentary'}]",2013-10-11,85.0,0.0
Mississippi Grind,"Gerry is a talented but down-on-his-luck gambler whose fortunes begin to change when he meets Curtis, a younger, highly charismatic poker player.  The two strike up an immediate friendship and Gerry quickly persuades his new friend to accompany him on a road trip to a legendary high stakes poker game in New Orleans. As they make their way down the Mississippi River, Gerry and Curtis manage to find themselves in just about every bar, racetrack, casino, and pool hall they can find, experiencing both incredible highs and dispiriting lows, but ultimately forging a deep and genuine bond that will stay with them long after their adventure is over.","[{'id': 18, 'name': 'Drama'}]",2015-07-04,108.0,5.9
Enter Laughing,"David Kolowitz, a nice young man living with his parents in New York City in 1938, works at a machine repair shop. His parents want David to study to become a pharmacist. But what he really wants is to be an actor like his idol, Ronald Colman. One day, at his friend Marvin's suggestion, David tries out for a part in a play, and gets it, despite his obvious lack of acting experience (not to mention ability). True, it's a rather small part in a low-rent production. Leading the troupe is a washed-up, alcoholic actor who hires David at the urging of his actress-daughter, who finds David ""cute."" To play his part, David must come up with his own costume - a tuxedo - and pay the house five dollars a week, ostensibly for tuition. But it is David's first acting job, one which calls for him to ""enter laughing."" And if it doesn't work out - well, there's always pharmacy school.",[],1967-01-01,112.0,6.0
Satan's Cheerleaders,"The janitor at a local high school is actually the scout for a coven of Satanists on the lookout for a virgin to sacrifice. One day he kidnaps the cheerleading squad to use for their rituals. However, unbeknownst to the devil-worshipers, one of the cheerleaders is actually a witch, and has plans of her own for the Satanists.","[{'id': 27, 'name': 'Horror'}]",1977-06-01,92.0,7.3
The Dream Team,This morning they were playing ping-pong in the hospital rec room. Now they're lost in New York and framed for murder. This was never covered in group therapy.,"[{'id': 35, 'name': 'Comedy'}]",1989-04-07,113.0,6.0
The Bengali Night,"Allan (Hugh Grant) is an engineer working in 1930s Calcutta. He is invited to stay with the family of his boss, Narendra Sen (Soumitra Chatterjee) which includes his wife, Indira (Shabana Azmi) and daughter Gayatri (Supriya Pathak). Gayatri and Allan become romantically involved leading to tragedy.","[{'id': 18, 'name': 'Drama'}]",1988-10-26,153.0,0.0
Scattered Cloud,,[],2011-09-06,0.0,5.5
The Whisperer in Darkness,"Written in 1931, H.P. Lovecraft's iconic genre-bending tale of suspense and alien terrors is brought to life in the style of the classic horror films of the 1930s like Frankenstein, Dracula and King Kong. Using its Mythoscope™ process — a mix of vintage and modern techniques — the H.P. Lovecraft Historical Society expands on Lovecraft's original tale while still bringing you unparalleled authenticity.
 Horror and science fiction collide in the adventure of Albert Wilmarth, a folklore professor at Miskatonic University, as he investigates legends of strange creatures rumored to dwell in the most remote mountains of Vermont. Wilmarth’s investigation leads him to a discovery of horrors quite beyond anything he ever imagined, and ends in a desperate attempt to escape the remote New England hills with his life and sanity intact.","[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",2011-03-12,104.0,6.7
"Ay, Carmela!","Paulino and Carmela are husband and wife, troubadours touring the countryside during the Spanish Civil War. They are Republicans, and with their mute assistant, Gustavete, they journey into rebel territory by mistake. They are arrested, fear a firing squad, and receive a reprieve from an Italian Fascist commander who loves the theatre. He arranges a performance for his troops, bargaining with Paulino to stage a burlesque of the republic in exchange for the actors' freedom. Will the fiery and patriotic Carmela consent?","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",1990-03-16,102.0,6.5
Mr. Dough and the Egg Princess,"Pandane to tamago hime is the story of a tiny Egg-girl who is forced to serve the evil Boar-like witch Baba Yaga. But after a blob of Dough comes to life, she befriends him and both escape from the witch's home at a Water mill on a cliff and set off to see the world","[{'id': 16, 'name': 'Animation'}]",2010-11-18,12.0,7.1
Atomic Train,A train headed for Denver carrying nuclear waste and toxic materials is en route for disaster when it becomes a runaway. Renegade investigator and train enthusiast John Seger jumps on board in a bid to save thousand of innocent lives...,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10770, 'name': 'TV Movie'}]",1999-05-16,168.0,4.3
That Sugar Film,"One man's journey to discover the bitter truth about sugar. Damon Gameau embarks on a unique experiment to document the effects of a high sugar diet on a healthy body, consuming only foods that are commonly perceived as 'healthy'. Through this entertaining and informative journey, Damon highlights some of the issues that plague the sugar industry, and where sugar lurks on supermarket shelves.","[{'id': 99, 'name': 'Documentary'}]",2014-07-31,97.0,6.5
Woody Allen: A Documentary,"Iconic writer, director, actor, comedian and musician Woody Allen allowed his life and creative process to be documented on-camera for the first time. With this unprecedented access, Emmy-winning, Oscar-nominated filmmaker Robert B. Weide followed the notoriously private film legend over a year and a half to create the ultimate film biography. ""Woody Allen: A Documentary"" chronicles Allen's career - from teen writer to Sid Caesar's TV scribe, from stand-up comedian to award-winning writer-director averaging one film-per-year for more than 40 years. Exploring Allen's writing habits, casting, directing, and relationship with his actors first-hand, new interviews with A-listers, writing partners, family and friends provide insight and backstory to the usually inscrutable filmmaker.","[{'id': 99, 'name': 'Documentary'}]",2011-11-20,192.0,7.5
My Brother's Wife,"After almost 10 years of marriage, attractive Zoe discovers that her marriage lacks passion and surprise, and is seduced by the possibility of finding those sensations already forgotten in her husband's brother. From this premise a series of events lead these three characters to a dangerous game of revenges, secrets and passions. Two brothers and one woman: the triangle is outlined in a disquieting way. It is a bomb that triggers family secrets, the contained rage of desire and the unmanageable power of love. An exciting story that subjugates the viewer from beginning to end.","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",2005-11-04,89.0,4.8
From Inside,"Based on the epic graphic novel by John Bergin, FROM INSIDE is the tale of Cee, a young pregnant woman who finds herself on a damaged train slowly transcribing its way across a bleak, apocalyptic landscape. Flood, war, starvation, and a plague of death threaten the train's passengers. Cee struggles through these dangers while coping with the memory of her lost husband and the imminent birth of her child.",[],2008-10-17,0.0,6.5
Brown's Requiem,"Fritz Brown is an ex-LAPD, recovering alcoholic who now splits his time repossessing cars for a used car lot and staffing his one-man private detective agency. When a filthy caddie named Freddy ""Fat Dog"" Baker wanders into Fritz's office one day, flashing a wad of cash, Fritz is hired to follow Fat Dog's kid sister Jane, who is holed up with a Beverly Hills sugar daddy named Sol Kupferman. Kupferman is a 70 year-old bag man for the mob, and Fat Dog claims that ""Solly K"" is up to something evil that may harm Jane. The trail leads Fritz to an encounter with his dark past in the person of Haywood Cathcart, current head of LAPD internal affairs and the person who kicked Fritz off the police force.","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",1998-11-01,104.0,6.0
Zombie Pizza,"After losing his father, a teenage boy decides to continue the family business and deliver pizza by bicycle during the zombie apocalypse.","[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",2017-04-27,94.0,9.3
Single Santa Seeks Mrs. Claus,"Nick's plan to let fate bring his wife to him must be altered because he must replace his father as Santa Claus on December 26. Ernst, the right-hand man to several generations of Santas, generates a list of potential mates. Nick dutifully sets off to meet them, but fate may have a candidate after all.","[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",2004-01-01,96.0,5.0
Half Light,"Rachel Carson, a best-selling crime novelist, is devastated and filled with guilt over the accidental death of her son. Hoping that a change of scenery will help alleviate her suffering, she leaves her home in the city and moves into a vacant country house owned by a friend and begins a relationship with charming local Angus. But, just as her life is taking a turn for the better, Rachel realizes she's being romanced by a ghost, leading her to doubt her own sanity.","[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",2006-01-17,110.0,5.9
Welcome To Macintosh,"""Welcome to Macintosh"" is a documentary that mixes history, criticism and an unapologetic revelry of all things Apple. Whether a long time Mac fanatic or new to computers, Welcome to Macintosh explores the many ways Apple Computer (now Apple, Inc.) has changed the world, from the early days of the Apple-I to the latest the company has to offer.","[{'id': 99, 'name': 'Documentary'}]",2008-05-06,90.0,5.2
Dog Day,Dog Day is a 1984 film starring Lee Marvin. A criminal shows up at a farmhouse with the law on his heels and several million dollars in his possession. The supporting cast includes Tina Louise and Juliette Mills. The movie was directed by Yves Boisset.,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1984-01-10,101.0,4.1
The Friends,"In this French film, Philippe (Philippe March) is an older man and an industrialist whose wife is confined to her bed. They have no children. As he is preparing to go on a vacation to the seaside, he strikes up an acquaintance with Paul (Yann Favre), a young working-class boy, and decides to bring him along. This is Paul's first glimpse of how the other half lives, with their first-class hotels and so on. When he meets some aristocratic young people at the resort, he tries to put over the fiction that he is of their class, with poor success. One of the film's highlights occurs when he confides his deception and its difficulties to Philippe.",[],1971-09-07,100.0,6.5
Ivko's Feast,"The story takes place in Nis, towards the end of the nineteenth century, during the calm down of the stormy historic events which led to final liberation of southern Serbian parts from Turkish occupation. The comedy is about celebrating traditional saint's day feast, organized by Ivko and how his guests test the Serbian hospitality.","[{'id': 35, 'name': 'Comedy'}]",2005-11-03,110.0,5.8
Old Stone,"A man falls down the stairs, but instead of helping him, the bystanders just take photos with their phones. Lao Shi is a taxi driver and he’s fighting for justice in the darkest recesses of Chinese society. The man who pushed him got into his taxi drunk not so very long ago, grabbed the steering wheel and caused an accident. The victim of the crash has been in a coma ever since, and because his family is destitute, Lao Shi is paying the hospital bills. The insurance company is refusing to cover the costs because the taxi driver left the scene of the accident with the injured man because no help was in sight. Now Lao Shi needs the testimony of his passenger, who angrily refuses to cooperate.","[{'id': 18, 'name': 'Drama'}]",2016-02-12,80.0,9.0
Nails,"A professional hit man retires to his colorless apartment but soon starts to suffer from horrible headaches and hears voices. In order to cure himself, he hammers a nail into his skull.","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",2003-10-01,60.0,5.5
Middle of Nowhere,"The film follows Grace, a young woman whose irresponsible mother blows her college fund on her younger sister's beauty pageant campaign.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2008-09-06,95.0,6.1
Ivan Tsarevich & the Grey Wolf,"New adventures, dangers, and funny situations are waiting for the heroes of Russian fairy tales.","[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",2011-12-29,75.0,5.6
Klondike Kate,"A young man in Alaska finds himself accused of murder, and must fight to clear his name.","[{'id': 37, 'name': 'Western'}]",1943-12-17,64.0,0.0
The Loreley's Grasp,"The legendary Loreley has been living for centuries in a grotto beneath the river Rhein in Germany. Every night when the moon is full, she turns into a reptile-like creature craving for human blood. When one girl after another of a nearby boarding school is killed by her, a hunter named Sirgurd is engaged to kill the monster.","[{'id': 27, 'name': 'Horror'}]",1974-02-23,85.0,5.1
Carnegie Hall,"A young Irishwoman comes to the United States to live and work with her mother as a cleaning lady at Carnegie Hall. She becomes attached to the place as the people she meets there gradually shape her life.  The film also includes a variety of performances from some of the foremost musical artists of the times: conductors Bruno Walter &amp; Leopold Stokowski, solists Arthur Rubinstein &amp; Jascha Haifetz, singers Lily Pons &amp; Jan Peerce and bandleader Vaughn Monroe among many others.","[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]",1947-02-28,135.0,0.0
Escape from Sobibor,"During WWII, the death camp at Treblinka had an escape, causing the Commandant at a similar camp in Sobibor to vow (actually threaten) that his camp would never experience the same thing. But those who were its captives, the Jewish laborers that had been spared from the ovens, knew that they were on borrowed time and that their only hope was to escape... the only question was how to do it.  On October 14, 1943, members of the camp's underground resistance succeeded in covertly killing eleven German officers and a number of Ukrainian guards. Of the 600 inmates in the camp, roughly 300 escaped, although most were later re-captured and killed. The escape forced the Nazis to close the death camp, dismantling it and planting a forest.","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 10752, 'name': 'War'}]",1987-04-12,143.0,6.7
The Big Steal,"Army Lieutenant Halliday, accused of stealing the Army payroll, pursues the real thief on a frantic chase through Mexico aided by the thief's ex-girlfriend and is in turn being chased by his accuser, Capt. Blake.","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1949-07-09,71.0,6.3
The Ghost Goes West,"An American businessman's family convinces him to buy a Scottish castle and disassemble it to ship it to America brick by brick, where it will be put it back together. The castle though is not the only part of the deal, with it goes the several-hundred year old ghost who haunts it.","[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",1935-12-17,95.0,5.9
The Legend of Jimmy the Greek,"“The NFL Today” on CBS was one of the preeminent sports programs on television in the early 1980s. It was a perfect combination of reporting, analysis, predictions, humor and talent. But there was no personality on the show more popular than Jimmy “The Greek” Snyder. Born in Steubenville, Ohio, to Greek immigrants, Jimmy overcame childhood tragedy, moved to Las Vegas, and eventually became the biggest name in the world of sports handicapping. When CBS added him as an “analyst” on “The NFL Today,” “The Greek” not only further increased his stature as a sort of national folk hero, but he also gained an air of respectability never before associated with gamblers. Peabody Award-winning filmmaker Fritz Mitchell, who broke in as an intern on “The NFL Today,” will examine Snyder’s impact on the growth of sports gambling, while also taking a fresh look at The Greek’s tragic downfall.","[{'id': 99, 'name': 'Documentary'}]",2009-11-10,53.0,6.1
Copper Canyon,"A group of copper miners, Southern veterans, are terrorized by local rebel-haters, led by deputy Lane Travis. The miners ask stage sharpshooter Johnny Carter to help them, under the impression that he is the legendary Colonel Desmond. It seems they're wrong; but Johnny's show comes to Coppertown and Johnny romances lovely gambler Lisa Roselle, whom the miners believe is at the center of their troubles.","[{'id': 37, 'name': 'Western'}]",1950-11-15,84.0,4.6
The Passion of the Christ,"""The Passion of the Christ"" is a film about the last 12 hours in the life of Jesus. Director Mel Gibson received much criticism from critics and audiences for his explicit depiction of and focus on violence and on christs suffering, especially on the part of the jewish community. The films languages are Arabic, Latin and Hebrew and its actors are laymen which was controversially received as well.","[{'id': 18, 'name': 'Drama'}]",2004-02-25,127.0,6.9
Number One with a Bullet,"Number One with a Bullet is a 1987 American police detective film directed by Jack Smight. A pair of detectives is assigned to investigate a murder, and discover a trail of corruption and criminal activity that leads right back to their own police department.","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",1987-02-27,103.0,4.5
Guidance,"Fabricating credentials to score a last-ditch job as a high school guidance counsellor, a boozing, drug-addled former child star becomes an improbable hit with his students by dispensing the worst advice possible, in this hilarious reprobate comedy from writer-director-star Pat Mills.","[{'id': 35, 'name': 'Comedy'}]",2014-09-04,83.0,5.3
I Dream Too Much,"If Columbia could make an acceptable movie star out of opera-diva Grace Moore, then RKO Radio could do the same with Lily Pons. At least that was producer Pandro S. Berman's reasoning when he cast Pons in the 1935 musical romance I Dream too Much. The actress plays Annette, a rural French musical student who marries struggling American composer Jonathan (Henry Fonda). Possessed of a splendid singing voice, our heroine rises to fame on the opera stage, while poor Jonathan continues struggling, supporting himself as a tour guide. Annette eventually saves her marriage by transforming her husband's ""masterpiece,"" a rather turgid modernistic opera, into a light-hearted musical comedy. Lucille Ball, who'd later co-star with Henry Fonda in The Big Street and Yours, Mine and Ours, has a funny minor role as a gum-snapping tourist. Though Lily Pons was at least 10 years older than Fonda, they make an attractive and believable screen couple, adding credibility to this somewhat contrived yarn","[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",1935-11-29,97.0,3.0
If Only,"After his impetuous musician girlfriend, Samantha, dies in an accident shortly after they had a fight (and nearly broke up), a grief-stricken British businessman, Ian Wyndham, living in London gets a chance to relive the day all over again, in the hope of changing the events that led up to her getting killed.","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2004-01-23,92.0,6.5
Honor Among Lovers,"A businessman (Fredric March) falls for his secretary (Claudette Colbert), but she marries a shady character (Monroe Owsley) who causes trouble for both of them.","[{'id': 18, 'name': 'Drama'}]",1931-03-21,75.0,0.0
Ricomincio da tre,"Gaetano, giovane napoletano, decide di lasciare casa, lavoro ed amici, per cercare altri momenti di vita e conoscere altre persone. Arriva a Firenze, a casa della zia. In un ambulatorio, dove capita per caso, conosce Marta e se ne innammora. Dopo una serie di divertenti situazioni (un vecchio amico dalla parlantina inarrestabile arriva da Napoli; la matura zia ed il suo attempato amante; un giovane prete Americano che vuole coinvolgerlo per forza nelle sue visite evangeliche; l'incontro con Riccardino, un giovane frustrato da una madre oppressiva; il padre che aspetta il miracolo della ricrescita di una mano amputata; etc.) Gaetano decide di restare a Firenze e di fare da padre al figlio che Marta aspetta, anche se la ragazza non vuole rivelare con esattezza il nome del padre.","[{'id': 35, 'name': 'Comedy'}]",1981-03-05,110.0,7.5
Space Amoeba,"When a space probe crash-lands on a far-flung Pacific atoll, the craft's alien stowaways decide to take over their new world one creature at a time. Soon, the parasitic life forms latch onto three indigenous critters -- a squid, a crab and a snapping turtle -- and transform them into colossal mutant monsters.","[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",1970-08-01,84.0,5.0
The Priest's Wife,"After discovering her boyfriend for the past four years is married, a distraught and depressed young woman turns to a Catholic priest for counseling -- and finds mutual attraction. Now the inseparable couple are thwarted by his holy vow of celibacy, and must rely on the Vatican for a solution to their dilemma.","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1970-12-22,103.0,6.0
Kabhi Khushi Kabhie Gham,"Orthodox Indian, Raichand, would like his two sons to live together with him and his wife, and get married to girls' of his choice. One of his sons, Rahul, is adopted, while Rohan is his real son. Rahul falls in love with a poor Indian girl named Anjali, and incurs the displeasure of Raichand, they argue and fight, as a result Rahul leaves the house, moves to Britain, and settles down. Raichand now focuses his attention on his real son, Rohan, who has no plans to get married, but is determined to bring Rahul and Anjali back home so that they can be together again. Will Raichand permit Rohan to have his way, or will he also ask him to leave the house?","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2001-12-14,210.0,7.6
General Idi Amin Dada,"Uganda's dictator, General Idi Amin Dada, accepts a foreign crew's request to interview and film him. He talks to the camera about his outreach to Arab nations, his goal of eradicating Israel, his views on economic policy, and his views of Nixon, Kissinger, and other world leaders. We also see him dressing down his ministers at a cabinet meeting (two weeks after this meeting, the foreign minister, whom Amin criticizes here, is murdered), supervising a war-game simulation of an invasion of Israel, visiting a village, and addressing a conclave of Ugandan physicians.","[{'id': 99, 'name': 'Documentary'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10752, 'name': 'War'}]",1974-11-01,90.0,6.8
Summer Wars,"Kenji is your typical teenage misfit. He’s good at math, bad with girls, and spends most of his time out hanging out in the all-powerful online community known as OZ. His second life is the only life he has – until the girl of his dreams, Natsuki, hijacks him for a starring role as a fake fiancé at her family reunion. Things only get stranger from there. A late-night email containing a cryptic mathematic riddle leads to the unleashing of a rogue AI intent on using the virtual world of OZ to destroy the real world. As Armageddon looms on the horizon, Kenji and his new “family” set aside their differences and band together to save the worlds they inhabit in this ""near-perfect blend of social satire and science fiction.""","[{'id': 16, 'name': 'Animation'}]",2009-08-01,114.0,7.4
Terra Formars,"With the space program attempting to travel to Mars, 21st century scientists were tasked with warming up the planet so that humans could survive on its surface. They came up with an efficient and cost effective plan of sending cockroaches and mold to the surface so that the mold would absorb the sunlight and the insect corpses would serve as a food source for the mold.  It is now the year 2577 and the first manned ship to Mars has landed on the planet and the six crew members are ready for their mission. But what they find are giant mutated humanoid cockroaches with incredible physical strength. The crew members are easily wiped out, but not before sending a transmission back to Earth. Now, humanity will send elite warriors to exterminate the mutated bugs and claim back Mars.","[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",2016-04-29,109.0,4.8
Ice Age,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.","[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",2002-03-10,81.0,7.1
The Maidens' Conspiracy,"Tirante the knight is as committed to fighting the Turks in Constantinople as he is to relieving Carmesina, the heiress to the Byzantine Empire, of her virginity.","[{'id': 12, 'name': 'Adventure'}]",2006-03-30,122.0,4.3
Exit,Several people think the city is a maze and they obsessively search for the exit.,"[{'id': 18, 'name': 'Drama'}]",2011-01-01,90.0,3.5
Survival Family,A world wide electrical outage occurs. Everything that requires electricity comes to a stop. Tokyo is nearly ruined. Yoshiyuki Suzuki (Fumiyo Kohinata) decides to escape from Tokyo with his family.,[],2017-05-14,117.0,5.0
35 Up,Director Michael Apted revisits the same group of British-born adults after a 7 year wait. The subjects are interviewed as to the changes that have occurred in their lives during the last seven years.,"[{'id': 99, 'name': 'Documentary'}, {'id': 10769, 'name': 'Foreign'}]",1991-08-29,123.0,7.7
World War Three,"This mock documentary uses archival footage, interviews and reports taken out of context and staged interviews to highlight a possible escalation into a nuclear war. In this feature, tension in East Germany, and an uprising triggered by a visit by Gorbachev sees a successful military coup taking place in the USSR. Western actions against brutal crack-downs on civilians involved increases tension between the sides, finally resulting in nuclear war.","[{'id': 10752, 'name': 'War'}, {'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10770, 'name': 'TV Movie'}]",1998-12-01,88.0,6.6
Fantozzi in Heaven,,"[{'id': 35, 'name': 'Comedy'}]",1993-01-01,0.0,5.6
